Progulon_ID,Protein_IDs,SimpleID,Protein_names,Gene_names,Mean_RF_score,Manual_annotation,Highlight_genes
PRN11,P51665,P51665,26S proteasome non-ATPase regulatory subunit 7,PSMD7,0.600808179,Heat shock proteins,
PRN11,P34932,P34932,Heat shock 70 kDa protein 4,HSPA4,0.70684515,Heat shock proteins,
PRN11,P17066,P17066,Heat shock 70 kDa protein 6,HSPA6,0.53287967,Heat shock proteins,
PRN11,P11142;P11142-2,P11142,Heat shock cognate 71 kDa protein,HSPA8,0.595068233,Heat shock proteins,
PRN11,P07900-2;P07900,P07900,Heat shock protein HSP 90-alpha,HSP90AA1,0.643795768,Heat shock proteins,
PRN11,P08238,P08238,Heat shock protein HSP 90-beta,HSP90AB1,0.620495087,Heat shock proteins,
PRN11,Q16543,Q16543,"Hsp90 co-chaperone Cdc37;Hsp90 co-chaperone Cdc37, N-terminally processed",CDC37,0.558081851,Heat shock proteins,
PRN11,Q58FF8,Q58FF8,Putative heat shock protein HSP 90-beta 2,HSP90AB2P,0.619679473,Heat shock proteins,
PRN11,P38646,P38646,"Stress-70 protein, mitochondrial",HSPA9,0.56041832,Heat shock proteins,
PRN11,P31948;P31948-2;P31948-3,P31948,Stress-induced-phosphoprotein 1,STIP1,0.756866377,Heat shock proteins,
PRN11,Q99729-3;Q99729-2,Q99729,Heterogeneous nuclear ribonucleoprotein A/B,HNRNPAB,0.579178824,hnRNPs,
PRN11,P51991,P51991,Heterogeneous nuclear ribonucleoprotein A3,HNRNPA3,0.508240211,hnRNPs,
PRN11,P31942-2;P31942;P31942-3,P31942,Heterogeneous nuclear ribonucleoprotein H3,HNRNPH3,0.557736212,hnRNPs,
PRN11,P61978-3,P61978,Heterogeneous nuclear ribonucleoprotein K,HNRNPK,0.521533851,hnRNPs,
PRN11,P14866;P14866-2,P14866,Heterogeneous nuclear ribonucleoprotein L,HNRNPL,0.527466954,hnRNPs,
PRN11,O60506;O60506-2,O60506,Heterogeneous nuclear ribonucleoprotein Q,SYNCRIP,0.574975787,hnRNPs,
PRN11,O43390;O43390-3,O43390,Heterogeneous nuclear ribonucleoprotein R,HNRNPR,0.594458615,hnRNPs,
PRN11,Q9Y333,Q9Y333,U6 snRNA-associated Sm-like protein LSm2,LSM2,0.570362002,LSm,
PRN11,P62310,P62310,U6 snRNA-associated Sm-like protein LSm3,LSM3,0.532117796,LSm,
PRN11,Q9Y4Z0,Q9Y4Z0,U6 snRNA-associated Sm-like protein LSm4,LSM4,0.510209388,LSm,
PRN11,P62312,P62312,U6 snRNA-associated Sm-like protein LSm6,LSM6,0.519518988,LSm,
PRN11,O95777,O95777,U6 snRNA-associated Sm-like protein LSm8,LSM8,0.502530008,LSm,
PRN11,O14980,O14980,Exportin-1,XPO1,0.534039337,Nuclear import/export,
PRN11,O43592,O43592,Exportin-T,XPOT,0.560584098,Nuclear import/export,
PRN11,O00629,O00629,Importin subunit alpha-3,KPNA4,0.558642212,Nuclear import/export,
PRN11,Q14974;Q14974-2,Q14974,Importin subunit beta-1,KPNB1,0.654679786,Nuclear import/export,
PRN11,O00410;O00410-3,O00410,Importin-5,IPO5,0.606341592,Nuclear import/export,
PRN11,P61970,P61970,Nuclear transport factor 2,NUTF2,0.581263204,Nuclear import/export,
PRN11,Q53FT3,Q53FT3,Protein Hikeshi,C11orf73,0.602925428,Nuclear import/export,
PRN11,Q92973-2;Q92973;Q92973-3,Q92973,Transportin-1,TNPO1,0.606788038,Nuclear import/export,
PRN11,O60925,O60925,Prefoldin subunit 1,PFDN1,0.691136891,Prefoldin,
PRN11,Q9UHV9,Q9UHV9,Prefoldin subunit 2,PFDN2,0.783025848,Prefoldin,
PRN11,P61758,P61758,Prefoldin subunit 3,VBP1,0.8493653,Prefoldin,
PRN11,Q9NQP4,Q9NQP4,Prefoldin subunit 4,PFDN4,0.554600371,Prefoldin,
PRN11,Q99471,Q99471,Prefoldin subunit 5,PFDN5,0.881431217,Prefoldin,
PRN11,O15212,O15212,Prefoldin subunit 6,PFDN6,0.845034616,Prefoldin,
PRN11,P62937,P62937,"Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed",PPIA,0.512246415,Prolyl isomerase,
PRN11,Q08752,Q08752,Peptidyl-prolyl cis-trans isomerase D,PPID,0.565750942,Prolyl isomerase,
PRN11,Q00688,Q00688,Peptidyl-prolyl cis-trans isomerase FKBP3,FKBP3,0.616939886,Prolyl isomerase,
PRN11,Q02790,Q02790,"Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed",FKBP4,0.582344387,Prolyl isomerase,
PRN11,Q9Y237-2;Q9Y237;Q9Y237-3,Q9Y237,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4,PIN4,0.569067283,Prolyl isomerase,
PRN11,Q9Y3C6,Q9Y3C6,Peptidyl-prolyl cis-trans isomerase-like 1,PPIL1,0.604509811,Prolyl isomerase,
PRN11,P25786;P25786-2,P25786,Proteasome subunit alpha type-1,PSMA1,0.685830454,"Proteasome, core",
PRN11,P25787,P25787,Proteasome subunit alpha type-2,PSMA2,0.691608764,"Proteasome, core",
PRN11,P25788-2;P25788,P25788,Proteasome subunit alpha type-3,PSMA3,0.714401339,"Proteasome, core",
PRN11,P25789;P25789-2,P25789,Proteasome subunit alpha type-4,PSMA4,0.704337151,"Proteasome, core",
PRN11,P28066;P28066-2,P28066,Proteasome subunit alpha type-5,PSMA5,0.723455439,"Proteasome, core",
PRN11,P60900;P60900-2;P60900-3,P60900,Proteasome subunit alpha type-6,PSMA6,0.689094177,"Proteasome, core",
PRN11,O14818,O14818,Proteasome subunit alpha type-7,PSMA7,0.685066441,"Proteasome, core",
PRN11,P20618,P20618,Proteasome subunit beta type-1,PSMB1,0.660662082,"Proteasome, core",
PRN11,P49721,P49721,Proteasome subunit beta type-2,PSMB2,0.645874339,"Proteasome, core",
PRN11,P49720,P49720,Proteasome subunit beta type-3,PSMB3,0.641638882,"Proteasome, core",
PRN11,P28070,P28070,Proteasome subunit beta type-4,PSMB4,0.569906073,"Proteasome, core",
PRN11,P28074;P28074-2,P28074,Proteasome subunit beta type-5,PSMB5,0.504354875,"Proteasome, core",
PRN11,P28072,P28072,Proteasome subunit beta type-6,PSMB6,0.555808422,"Proteasome, core",
PRN11,Q99436,Q99436,Proteasome subunit beta type-7,PSMB7,0.588429453,"Proteasome, core",
PRN11,P62191,P62191,26S protease regulatory subunit 4,PSMC1,0.578098632,"Proteasome, regulatory",
PRN11,P17980,P17980,26S protease regulatory subunit 6A,PSMC3,0.525083418,"Proteasome, regulatory",
PRN11,P43686;P43686-2,P43686,26S protease regulatory subunit 6B,PSMC4,0.519732505,"Proteasome, regulatory",
PRN11,P35998;P35998-2,P35998,26S protease regulatory subunit 7,PSMC2,0.527162716,"Proteasome, regulatory",
